Participant,Parent Node,Child Node 1,Child Node 2,Quotes,Summary of Child Node 1,Summary of Child Node 2
KII_P8,Recommended Adaptation Strategies,Awareness Campaign,,"But, as I said earlier, the health sector could come forward through campaigns. Health practitioners could do a lot through campaigning. If they focus on it, it would be very beneficial for us. They can organize free treatments in various spots where temperatures are highest. For example, if they can campaign in floating communities, offering free health support, free medicine, saline, and water provision, it would make a significant difference. In addition, increasing the supply of fresh water in some places would also help. I believe that in this way, they can invest more in these areas.",,
FGD2_P6,Recommended Adaptation Strategies,"Awareness Campaign, Innovative suggestions",,"But they need to ensure that ponds aren’t filled in, and railway lines aren’t encroached upon. These should be addressed through proper reporting. Reports are useful.",,
FGD7_P9,Adaptive capacity,Bathing,,"Many people, especially near rivers or ponds, take baths to cool off. Especially men who work outdoors—they often jump into water bodies to cool down in the intense heat.","One of the not-so-common yet seen coping mechanisms was seen among men, which is bathing. People who live near a water body mentioned that whenever men felt the heat was extreme, they would take a bath in the local ponds or even the river to ease their discomfort from the heat. ",
KII_P9,Recommended Adaptation Strategies,Blue Space,,"“As I mentioned earlier, our main concern in monitoring is the blue infrastructure we have, especially the water bodies, from lakes to various sources. We have been emphasizing retention, not blocking these water bodies. We have made several proclamations. We are emphasizing that this should not happen. You’ll see many places around Dhaka where resorts are being built, filling the areas completely. But our battle is with this. This is a government strategy—these water bodies cannot be blocked. But the issue is, where is the problem? We’re cutting hills, which is a challenging situation for us because, in Sri Lanka, where everything is mountainous, I went to my friend’s house in Kandy, Sri Lanka. His house is located on top of a hill, and they have created a beautiful road by cutting through the hill. Every country has its own situation. But here, where we have small hills, I feel if we didn’t completely erase the hill and utilized it properly, designed with consideration, it would have been the best. So, I believe the Department of Environment always considers how we can preserve the environment and move forward together with it. But the problem is, where there are so many vested quarters and interest groups, our ministry is a bit weak—I'll say weak because our allocation is limited compared to others. With our limited manpower, it's difficult to handle this alone. If you see from within, our adviser has been working tirelessly for many years to stop the use of plastic, halt hill cutting, and save rivers, making extraordinary efforts. But even so, we face numerous challenges. Just two days ago, our Deputy Secretary, the Enforcement Director, was injured. Now, if people are not aware and they harm me while I am doing something good, then why should I be motivated to continue this work? This has become a challenge for us. How can we ensure the security of our officers and continue this work? Yes, we are trying to focus on that. Will it do?”",,
FGD3_P2, Heat Exposure,Building Density,,"In high-rise buildings, like a 10-story, 5-story, or 7-story building, the amount of electricity used increases, and the heat rises.",,
FGD6_P7,Heat Exposure,Building Density,,"“There are more people, and more buildings. It used to be hot, but now it feels even hotter.”",,
FGD7_P1,Heat Exposure,Building Density,,"There are so many flats, and that’s why it feels so hot. Where there are open spaces and trees, you get a breeze.",,
FGD7_P1,Heat Exposure,Building Density,,"As I was saying earlier, the density is causing more heat. There are factories and garment industries now, which weren’t here before.",,
FGD-9_P4,Heat Exposure,Building Density,,"Here, it’s surrounded by buildings. There’s no proper system for air circulation.",,
FGD-9_P5,Heat Exposure,Building Density,,"When people construct houses, they leave just a foot of space. If a foot or so was left open, then at least some air circulation could happen. But many houses are completely attached.",,
KII_04_M4,Heat Exposure,Building Density,,"Now, when such extreme temperatures occur, you have to consider that in Dhaka, temperatures rarely exceed 36–38°C. But during this event, people in Dhaka appeared more distressed than those in marginal rural areas. Why? Because Dhaka is a heat-trapped city—there is poor ventilation, high-rise buildings, and many industrial zones. Additionally, at night, diesel-run trucks operate across Dhaka.",,
KII_P3,Heat Exposure,Building Density,,"One major issue is that Dhaka has become a concrete city. There is almost no open land surface left—everything is covered in concrete and cement. Although building plans officially require open spaces and green coverage, in reality, these regulations are often not followed. The transformation of Dhaka into a completely concretized and cemented city is, in my opinion, a significant reason for the increasing heat.",,
